dataset,model,layer,case_type,n,fraction,median_behavioral_alignment,median_latent_alignment,mean_behavioral_alignment,mean_latent_alignment,median_abs_alignment_gap,mean_abs_alignment_gap,median_signed_alignment_gap
not,gemma-2-2b,0,both_aligned,626,0.5008,0.585731,0.5,0.5842205375399361,0.5,0.085731,0.08422053753993611,-0.085731
not,gemma-2-2b,0,aligned_output_misaligned_latent,0,0.0,,,,,,,
not,gemma-2-2b,0,misaligned_output_aligned_latent,624,0.4992,0.412106605,0.5,0.41262220294871793,0.5,0.08789339499999999,0.08737779705128206,0.08789339499999999
not,gemma-2-2b,0,both_misaligned,0,0.0,,,,,,,
not,gemma-2-2b,1,both_aligned,290,0.232,0.5856620100000001,0.75517985,0.5827565955172413,0.7515140820344828,0.17324026999999997,0.18862369003448276,0.17324026999999997
not,gemma-2-2b,1,aligned_output_misaligned_latent,336,0.2688,0.585802495,0.2884972,0.5854840589285714,0.2812003680446428,0.298079445,0.3042836908839286,-0.298079445
not,gemma-2-2b,1,misaligned_output_aligned_latent,379,0.3032,0.4061414,0.72766197,0.40740462530343,0.7208834576437995,0.31491376000000004,0.3134788323403694,0.31491376000000004
not,gemma-2-2b,1,both_misaligned,245,0.196,0.42182489999999995,0.20584080000000005,0.420693476122449,0.2263063025632653,0.21510775999999998,0.21198874629387754,-0.21510775999999998
not,gemma-2-2b,2,both_aligned,358,0.2864,0.5778951050000001,0.8781562700000001,0.577034220726257,0.8460513216480446,0.301857975,0.27246272740223465,0.301857975
not,gemma-2-2b,2,aligned_output_misaligned_latent,268,0.2144,0.59555825,0.15304022,0.5938201697014925,0.18645290425063432,0.42852258499999996,0.4073672654508582,-0.42852258499999996
not,gemma-2-2b,2,misaligned_output_aligned_latent,352,0.2816,0.39973885,0.911484525,0.40247635258522724,0.8613572100770739,0.5059067049999999,0.45888085749184654,0.5059067049999999
not,gemma-2-2b,2,both_misaligned,272,0.2176,0.43007167500000004,0.10474621499999998,0.42575212694852943,0.15244607959558823,0.32017306,0.2777898213235294,-0.32017306
not,gemma-2-2b,3,both_aligned,348,0.2784,0.5778951050000001,0.961104035,0.5775965720689655,0.9042022774425287,0.369370335,0.3283428784770115,0.369370335
not,gemma-2-2b,3,aligned_output_misaligned_latent,278,0.2224,0.5937128,0.09712593299999998,0.5925124079856116,0.14130400931381296,0.48657848,0.45120839867179857,-0.48657848
not,gemma-2-2b,3,misaligned_output_aligned_latent,362,0.2896,0.40185355,0.967105993,0.4043904244198895,0.9050082975883038,0.5504057895,0.5006178731684143,0.5504057895
not,gemma-2-2b,3,both_misaligned,262,0.2096,0.42891935,0.04018565000000002,0.42399588167938934,0.09727646954198474,0.3650699,0.32954564496183203,-0.3650699
not,gemma-2-2b,4,both_aligned,354,0.2832,0.577446,0.9701332,0.5771885022881356,0.9092015164406779,0.37206395999999997,0.33465470290960453,0.37206395999999997
not,gemma-2-2b,4,aligned_output_misaligned_latent,272,0.2176,0.5945885,0.053332246499999986,0.5933725245955882,0.11318737560743014,0.527856855,0.48018514898815806,-0.527856855
not,gemma-2-2b,4,misaligned_output_aligned_latent,364,0.2912,0.40194177,0.9780384900000001,0.40434466752747256,0.9103592232603406,0.5591180935,0.5060145557328681,0.5591180935
not,gemma-2-2b,4,both_misaligned,260,0.208,0.42891935,0.03335969999999999,0.4242107525384616,0.08419405903846154,0.376565825,0.3404765221923077,-0.376565825
not,gemma-2-2b,5,both_aligned,374,0.2992,0.5767715,0.9609686850000001,0.5763471531283423,0.8984665628877007,0.367101745,0.3244500172459893,0.367101745
not,gemma-2-2b,5,aligned_output_misaligned_latent,252,0.2016,0.59719665,0.05562808150000002,0.5959056398015873,0.11062759055647618,0.528894725,0.4852780492451111,-0.528894725
not,gemma-2-2b,5,misaligned_output_aligned_latent,355,0.284,0.40030699999999997,0.986781189,0.40260837273239436,0.9269624890586239,0.564414942,0.5243541163262295,0.564414942
not,gemma-2-2b,5,both_misaligned,269,0.2152,0.43059480000000006,0.04460489999999995,0.4258374807434944,0.10225875420074348,0.3684771,0.3267386135315985,-0.3684771
not,gemma-2-2b,6,both_aligned,327,0.2616,0.5938016,0.9949155,0.5925678236391437,0.9576531952311926,0.3852346400000001,0.3652774238856269,0.3852346400000001
not,gemma-2-2b,6,aligned_output_misaligned_latent,299,0.2392,0.5730005,0.016597936,0.5750915657859532,0.04230410729715719,0.545771169,0.5327874584887959,-0.545771169
not,gemma-2-2b,6,misaligned_output_aligned_latent,352,0.2816,0.40335918000000004,0.99727622525,0.40654689681818185,0.974856380828125,0.59046147145,0.5683094840099432,0.59046147145
not,gemma-2-2b,6,both_misaligned,272,0.2176,0.423049775,0.006907345000000009,0.4204843638235294,0.04638635951838235,0.39568768,0.3741925988639706,-0.39568768
not,gemma-2-2b,7,both_aligned,330,0.264,0.5937625,0.9939549000000001,0.5925652183030303,0.95503513612,0.38145843499999993,0.3624881843018182,0.38145843499999993
not,gemma-2-2b,7,aligned_output_misaligned_latent,296,0.2368,0.5730504000000001,0.02163384899999999,0.5749173461486486,0.04804388681131757,0.5383248620000001,0.5268734593373311,-0.5383248620000001
not,gemma-2-2b,7,misaligned_output_aligned_latent,350,0.28,0.40335918000000004,0.99630281,0.40667589874285714,0.9769766887561999,0.5887111089,0.5703007900133429,0.5887111089
not,gemma-2-2b,7,both_misaligned,274,0.2192,0.42287772500000004,0.008619524999999961,0.42021784700729925,0.04829563819708029,0.39213797999999994,0.3719263705620438,-0.39213797999999994
not,gemma-2-2b,8,both_aligned,297,0.2376,0.5939722,0.9958607,0.5928529124579125,0.9602886745707071,0.38648904000000006,0.3677444347053872,0.38648904000000006
not,gemma-2-2b,8,aligned_output_misaligned_latent,329,0.2632,0.57580656,0.009230614,0.5764277857142858,0.03213486845288754,0.5528399954000001,0.5442929172613982,-0.5528399954000001
not,gemma-2-2b,8,misaligned_output_aligned_latent,351,0.2808,0.40413679999999996,0.9961879253,0.40647315692307695,0.9827021356217378,0.5905898657,0.576228978698661,0.5905898657
not,gemma-2-2b,8,both_misaligned,273,0.2184,0.4237048,0.0018201500000000204,0.42052811926739925,0.03573175688424909,0.40752133999999995,0.38497926743809524,-0.40752133999999995
not,gemma-2-2b,9,both_aligned,287,0.2296,0.5938108,0.9942002,0.5926246142857142,0.9618707699477351,0.38530364000000006,0.37024515503484323,0.38530364000000006
not,gemma-2-2b,9,aligned_output_misaligned_latent,339,0.2712,0.5761377,0.008413076,0.5771055817109145,0.03045135975938053,0.5545272189999999,0.5466542219515339,-0.5545272189999999
not,gemma-2-2b,9,misaligned_output_aligned_latent,352,0.2816,0.40391473,0.99303007125,0.4062515334943182,0.979332683926733,0.5853666875,0.5730811504324147,0.5853666875
not,gemma-2-2b,9,both_misaligned,272,0.2176,0.423728585,0.001822849999999987,0.4208665987132353,0.03192332865625,0.40881276499999997,0.3891061031452206,-0.40881276499999997
not,gemma-2-2b,10,both_aligned,340,0.272,0.57614957,0.98840217,0.5770695268823529,0.9653198238210882,0.40444543,0.38890020635050004,0.40444543
not,gemma-2-2b,10,aligned_output_misaligned_latent,286,0.2288,0.5938915,0.0095882415,0.592721739020979,0.04275548681372377,0.5735020036,0.5499662522072553,-0.5735020036
not,gemma-2-2b,10,misaligned_output_aligned_latent,279,0.2232,0.4237048,0.9984278679,0.420737704516129,0.9691862599765698,0.5675502458,0.5484485554604409,0.5675502458
not,gemma-2-2b,10,both_misaligned,345,0.276,0.40302570000000004,0.007294400000000034,0.406059232115942,0.021163821362318837,0.39249897,0.38489541075362316,-0.39249897
not,gemma-2-2b,11,both_aligned,289,0.2312,0.5938108,0.9924401,0.5926427169204153,0.9557034146723183,0.38290251,0.36382937443010377,0.38290251
not,gemma-2-2b,11,aligned_output_misaligned_latent,337,0.2696,0.5761377,0.009504298,0.5769979564094956,0.031020905417804157,0.552410593,0.5459770509916914,-0.552410593
not,gemma-2-2b,11,misaligned_output_aligned_latent,348,0.2784,0.40335918000000004,0.9936311485,0.40637935744252873,0.979189629917385,0.5869266604500001,0.5728102724748563,0.5869266604500001
not,gemma-2-2b,11,both_misaligned,276,0.2208,0.42353275,0.001146365000000038,0.4204936168478261,0.029577952022826086,0.40895273499999996,0.39124680975253623,-0.40895273499999996
not,gemma-2-2b,12,both_aligned,283,0.2264,0.5939722,0.9929452,0.5930368865724382,0.9537480794438162,0.38313697,0.36143066396678447,0.38313697
not,gemma-2-2b,12,aligned_output_misaligned_latent,343,0.2744,0.5758699,0.010327668,0.5769464069970845,0.03345339972233236,0.551643089,0.5434930072747521,-0.551643089
not,gemma-2-2b,12,misaligned_output_aligned_latent,353,0.2824,0.4043398,0.993910771,0.4067100362606232,0.9786139710737677,0.586178522,0.5719039348131445,0.586178522
not,gemma-2-2b,12,both_misaligned,271,0.2168,0.42336070000000003,0.0014672000000000018,0.42032329092250925,0.031261224406642064,0.4092203,0.3894200818664207,-0.4092203
not,gemma-2-2b,13,both_aligned,278,0.2224,0.5940805499999999,0.992143765,0.5936386601798561,0.9552738013859712,0.382399295,0.3616726797672662,0.382399295
not,gemma-2-2b,13,aligned_output_misaligned_latent,348,0.2784,0.57583823,0.012682806500000001,0.5766968648563219,0.03883267809252873,0.54759099555,0.5378641867637931,-0.54759099555
not,gemma-2-2b,13,misaligned_output_aligned_latent,358,0.2864,0.40486265,0.9923990783500001,0.40706709011173187,0.9736687592855866,0.5814923677999999,0.5666016691738548,0.5814923677999999
not,gemma-2-2b,13,both_misaligned,266,0.2128,0.42287772500000004,0.0012075750000000163,0.4200986330075188,0.028446889376315787,0.4091093049999999,0.391651743631203,-0.4091093049999999
not,gemma-2-2b,14,both_aligned,281,0.2248,0.5945177,0.9896122,0.5940499344128114,0.9482266488932384,0.3787792,0.35461296230960854,0.3787792
not,gemma-2-2b,14,aligned_output_misaligned_latent,345,0.276,0.5745044,0.018101016,0.5762145650144928,0.04649853692463768,0.543504653,0.5297160280898551,-0.543504653
not,gemma-2-2b,14,misaligned_output_aligned_latent,362,0.2896,0.40557265000000003,0.98984691925,0.40764858903314916,0.9699739651623758,0.574940953,0.5623253761292265,0.574940953
not,gemma-2-2b,14,both_misaligned,262,0.2096,0.42191629999999997,0.0028420500000000404,0.4194941427862595,0.03266524820992366,0.406088405,0.3868288945763359,-0.406088405
not,gemma-2-2b,15,both_aligned,282,0.2256,0.5943533000000001,0.989689085,0.5937995658510639,0.9475547000867377,0.37983345,0.35456440927113475,0.37983345
not,gemma-2-2b,15,aligned_output_misaligned_latent,344,0.2752,0.5747144,0.0159145595,0.576367962005814,0.040982397462616275,0.546654475,0.5353855645431976,-0.546654475
